#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0010              0.3000              0.0000              0.0220            178.3766
              0.0010              0.3125              0.0000              0.0220            169.0768
              0.0010              0.3250              0.0000              0.0220            161.7022
              0.0010              0.3375              0.0000              0.0220            156.0615
              0.0010              0.3500              0.0000              0.0220            151.9616
              0.0010              0.3625              0.0000              0.0220            149.2056
              0.0010              0.3750              0.0000              0.0220            147.5964
              0.0010              0.3875              0.0000              0.0220            146.9395
              0.0010              0.4000              0.0000              0.0220            147.0458
              0.0010              0.4125              0.0000              0.0220            147.7348
              0.0010              0.4250              0.0000              0.0220            148.8358
              0.0010              0.4375              0.0000              0.0220            150.1933
              0.0010              0.4500              0.0000              0.0220            151.6673
              0.0010              0.4625              0.0000              0.0220            153.1370
              0.0010              0.4750              0.0000              0.0220            154.5019
              0.0010              0.4875              0.0000              0.0220            155.6844
              0.0010              0.5000              0.0000              0.0220            156.6305
              0.0010              0.5125              0.0000              0.0220            157.3110
              0.0010              0.5250              0.0000              0.0220            157.7220
              0.0010              0.5375              0.0000              0.0220            157.8846
              0.0010              0.5500              0.0000              0.0220            157.8445
              0.0010              0.5625              0.0000              0.0220            157.6714
              0.0010              0.5750              0.0000              0.0220            157.4568
              0.0010              0.5875              0.0000              0.0220            157.3130
              0.0010              0.6000              0.0000              0.0220            157.3707
              0.0010              0.6125              0.0000              0.0220            157.7765
              0.0010              0.6250              0.0000              0.0220            158.6903
              0.0010              0.6375              0.0000              0.0220            160.2834
              0.0010              0.6500              0.0000              0.0220            162.7345
              0.0010              0.6625              0.0000              0.0220            166.2278
              0.0010              0.6750              0.0000              0.0220            170.9498
              0.0010              0.6875              0.0000              0.0220            177.0872
              0.0010              0.7000              0.0000              0.0220            184.8238
              0.0010              0.7125              0.0000              0.0220            194.3387
              0.0010              0.7250              0.0000              0.0220            205.8060
              0.0011              0.3000              0.0000              0.0220            153.8328
              0.0011              0.3125              0.0000              0.0220            143.6060
              0.0011              0.3250              0.0000              0.0220            135.3379
              0.0011              0.3375              0.0000              0.0220            128.8413
              0.0011              0.3500              0.0000              0.0220            123.9274
              0.0011              0.3625              0.0000              0.0220            120.4033
              0.0011              0.3750              0.0000              0.0220            118.0762
              0.0011              0.3875              0.0000              0.0220            116.7557
              0.0011              0.4000              0.0000              0.0220            116.2566
              0.0011              0.4125              0.0000              0.0220            116.4019
              0.0011              0.4250              0.0000              0.0220            117.0246
              0.0011              0.4375              0.0000              0.0220            117.9718
              0.0011              0.4500              0.0000              0.0220            119.1063
              0.0011              0.4625              0.0000              0.0220            120.3091
              0.0011              0.4750              0.0000              0.0220            121.4813
              0.0011              0.4875              0.0000              0.0220            122.5459
              0.0011              0.5000              0.0000              0.0220            123.4492
              0.0011              0.5125              0.0000              0.0220            124.1617
              0.0011              0.5250              0.0000              0.0220            124.6783
              0.0011              0.5375              0.0000              0.0220            125.0184
              0.0011              0.5500              0.0000              0.0220            125.2258
              0.0011              0.5625              0.0000              0.0220            125.3673
              0.0011              0.5750              0.0000              0.0220            125.5314
              0.0011              0.5875              0.0000              0.0220            125.8272
              0.0011              0.6000              0.0000              0.0220            126.3816
              0.0011              0.6125              0.0000              0.0220            127.3375
              0.0011              0.6250              0.0000              0.0220            128.8514
              0.0011              0.6375              0.0000              0.0220            131.0900
              0.0011              0.6500              0.0000              0.0220            134.2290
              0.0011              0.6625              0.0000              0.0220            138.4487
              0.0011              0.6750              0.0000              0.0220            143.9325
              0.0011              0.6875              0.0000              0.0220            150.8637
              0.0011              0.7000              0.0000              0.0220            159.4232
              0.0011              0.7125              0.0000              0.0220            169.7874
              0.0011              0.7250              0.0000              0.0220            182.1280
              0.0012              0.3000              0.0000              0.0220            134.1784
              0.0012              0.3125              0.0000              0.0220            123.1815
              0.0012              0.3250              0.0000              0.0220            114.1698
              0.0012              0.3375              0.0000              0.0220            106.9594
              0.0012              0.3500              0.0000              0.0220            101.3649
              0.0012              0.3625              0.0000              0.0220             97.1973
              0.0012              0.3750              0.0000              0.0220             94.2669
              0.0012              0.3875              0.0000              0.0220             92.3870
              0.0012              0.4000              0.0000              0.0220             91.3755
              0.0012              0.4125              0.0000              0.0220             91.0586
              0.0012              0.4250              0.0000              0.0220             91.2720
              0.0012              0.4375              0.0000              0.0220             91.8656
              0.0012              0.4500              0.0000              0.0220             92.7042
              0.0012              0.4625              0.0000              0.0220             93.6708
              0.0012              0.4750              0.0000              0.0220             94.6676
              0.0012              0.4875              0.0000              0.0220             95.6188
              0.0012              0.5000              0.0000              0.0220             96.4709
              0.0012              0.5125              0.0000              0.0220             97.1942
              0.0012              0.5250              0.0000              0.0220             97.7830
              0.0012              0.5375              0.0000              0.0220             98.2558
              0.0012              0.5500              0.0000              0.0220             98.6545
              0.0012              0.5625              0.0000              0.0220             99.0442
              0.0012              0.5750              0.0000              0.0220             99.5111
              0.0012              0.5875              0.0000              0.0220            100.1615
              0.0012              0.6000              0.0000              0.0220            101.1197
              0.0012              0.6125              0.0000              0.0220            102.5258
              0.0012              0.6250              0.0000              0.0220            104.5330
              0.0012              0.6375              0.0000              0.0220            107.3052
              0.0012              0.6500              0.0000              0.0220            111.0150
              0.0012              0.6625              0.0000              0.0220            115.8398
              0.0012              0.6750              0.0000              0.0220            121.9601
              0.0012              0.6875              0.0000              0.0220            129.5566
              0.0012              0.7000              0.0000              0.0220            138.8077
              0.0012              0.7125              0.0000              0.0220            149.8875
