#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0010              0.3000              0.0000              0.0220            216.2247
              0.0010              0.3125              0.0000              0.0220            204.1686
              0.0010              0.3250              0.0000              0.0220            194.2287
              0.0010              0.3375              0.0000              0.0220            186.2348
              0.0010              0.3500              0.0000              0.0220            180.0088
              0.0010              0.3625              0.0000              0.0220            175.3670
              0.0010              0.3750              0.0000              0.0220            172.1223
              0.0010              0.3875              0.0000              0.0220            170.0854
              0.0010              0.4000              0.0000              0.0220            169.0691
              0.0010              0.4125              0.0000              0.0220            168.8898
              0.0010              0.4250              0.0000              0.0220            169.3703
              0.0010              0.4375              0.0000              0.0220            170.3424
              0.0010              0.4500              0.0000              0.0220            171.6498
              0.0010              0.4625              0.0000              0.0220            173.1504
              0.0010              0.4750              0.0000              0.0220            174.7188
              0.0010              0.4875              0.0000              0.0220            176.2484
              0.0010              0.5000              0.0000              0.0220            177.6529
              0.0010              0.5125              0.0000              0.0220            178.8681
              0.0010              0.5250              0.0000              0.0220            179.8532
              0.0010              0.5375              0.0000              0.0220            180.5906
              0.0010              0.5500              0.0000              0.0220            181.0869
              0.0010              0.5625              0.0000              0.0220            181.3726
              0.0010              0.5750              0.0000              0.0220            181.5010
              0.0010              0.5875              0.0000              0.0220            181.5472
              0.0010              0.6000              0.0000              0.0220            181.6071
              0.0010              0.6125              0.0000              0.0220            181.7950
              0.0010              0.6250              0.0000              0.0220            182.2420
              0.0010              0.6375              0.0000              0.0220            183.0932
              0.0010              0.6500              0.0000              0.0220            184.5061
              0.0010              0.6625              0.0000              0.0220            186.6471
              0.0010              0.6750              0.0000              0.0220            189.6896
              0.0010              0.6875              0.0000              0.0220            193.8109
              0.0010              0.7000              0.0000              0.0220            199.1903
              0.0010              0.7125              0.0000              0.0220            206.0063
              0.0010              0.7250              0.0000              0.0220            214.4365
              0.0011              0.3000              0.0000              0.0220            189.7357
              0.0011              0.3125              0.0000              0.0220            176.9206
              0.0011              0.3250              0.0000              0.0220            166.2385
              0.0011              0.3375              0.0000              0.0220            157.5218
              0.0011              0.3500              0.0000              0.0220            150.5958
              0.0011              0.3625              0.0000              0.0220            145.2800
              0.0011              0.3750              0.0000              0.0220            141.3910
              0.0011              0.3875              0.0000              0.0220            138.7443
              0.0011              0.4000              0.0000              0.0220            137.1560
              0.0011              0.4125              0.0000              0.0220            136.4473
              0.0011              0.4250              0.0000              0.0220            136.4453
              0.0011              0.4375              0.0000              0.0220            136.9865
              0.0011              0.4500              0.0000              0.0220            137.9188
              0.0011              0.4625              0.0000              0.0220            139.1044
              0.0011              0.4750              0.0000              0.0220            140.4217
              0.0011              0.4875              0.0000              0.0220            141.7675
              0.0011              0.5000              0.0000              0.0220            143.0588
              0.0011              0.5125              0.0000              0.0220            144.2338
              0.0011              0.5250              0.0000              0.0220            145.2534
              0.0011              0.5375              0.0000              0.0220            146.1016
              0.0011              0.5500              0.0000              0.0220            146.7856
              0.0011              0.5625              0.0000              0.0220            147.3356
              0.0011              0.5750              0.0000              0.0220            147.8044
              0.0011              0.5875              0.0000              0.0220            148.2658
              0.0011              0.6000              0.0000              0.0220            148.8137
              0.0011              0.6125              0.0000              0.0220            149.5603
              0.0011              0.6250              0.0000              0.0220            150.6337
              0.0011              0.6375              0.0000              0.0220            152.1762
              0.0011              0.6500              0.0000              0.0220            154.3413
              0.0011              0.6625              0.0000              0.0220            157.2922
              0.0011              0.6750              0.0000              0.0220            161.1984
              0.0011              0.6875              0.0000              0.0220            166.2334
              0.0011              0.7000              0.0000              0.0220            172.5726
              0.0011              0.7125              0.0000              0.0220            180.3905
              0.0011              0.7250              0.0000              0.0220            189.8589
              0.0012              0.3000              0.0000              0.0220            167.4655
              0.0012              0.3125              0.0000              0.0220            154.0144
              0.0012              0.3250              0.0000              0.0220            142.7121
              0.0012              0.3375              0.0000              0.0220            133.3930
              0.0012              0.3500              0.0000              0.0220            125.8845
              0.0012              0.3625              0.0000              0.0220            120.0089
              0.0012              0.3750              0.0000              0.0220            115.5852
              0.0012              0.3875              0.0000              0.0220            112.4319
              0.0012              0.4000              0.0000              0.0220            110.3686
              0.0012              0.4125              0.0000              0.0220            109.2195
              0.0012              0.4250              0.0000              0.0220            108.8153
              0.0012              0.4375              0.0000              0.0220            108.9958
              0.0012              0.4500              0.0000              0.0220            109.6125
              0.0012              0.4625              0.0000              0.0220            110.5308
              0.0012              0.4750              0.0000              0.0220            111.6323
              0.0012              0.4875              0.0000              0.0220            112.8168
              0.0012              0.5000              0.0000              0.0220            114.0038
              0.0012              0.5125              0.0000              0.0220            115.1337
              0.0012              0.5250              0.0000              0.0220            116.1692
              0.0012              0.5375              0.0000              0.0220            117.0957
              0.0012              0.5500              0.0000              0.0220            117.9212
              0.0012              0.5625              0.0000              0.0220            118.6762
              0.0012              0.5750              0.0000              0.0220            119.4134
              0.0012              0.5875              0.0000              0.0220            120.2062
              0.0012              0.6000              0.0000              0.0220            121.1473
              0.0012              0.6125              0.0000              0.0220            122.3476
              0.0012              0.6250              0.0000              0.0220            123.9334
              0.0012              0.6375              0.0000              0.0220            126.0449
              0.0012              0.6500              0.0000              0.0220            128.8334
              0.0012              0.6625              0.0000              0.0220            132.4596
              0.0012              0.6750              0.0000              0.0220            137.0901
              0.0012              0.6875              0.0000              0.0220            142.8957
              0.0012              0.7000              0.0000              0.0220            150.0489
              0.0012              0.7125              0.0000              0.0220            158.7213
              0.0012              0.7250              0.0000              0.0220            169.0818
              0.0013              0.3000              0.0000              0.0220            149.1895
              0.0013              0.3125              0.0000              0.0220            135.1698
              0.0013              0.3250              0.0000              0.0220            123.3129
              0.0013              0.3375              0.0000              0.0220            113.4531
              0.0013              0.3500              0.0000              0.0220            105.4196
              0.0013              0.3625              0.0000              0.0220             99.0371
              0.0013              0.3750              0.0000              0.0220             94.1271
              0.0013              0.3875              0.0000              0.0220             90.5109
              0.0013              0.4000              0.0000              0.0220             88.0108
              0.0013              0.4125              0.0000              0.0220             86.4541
              0.0013              0.4250              0.0000              0.0220             85.6746
              0.0013              0.4375              0.0000              0.0220             85.5153
              0.0013              0.4500              0.0000              0.0220             85.8307
              0.0013              0.4625              0.0000              0.0220             86.4894
              0.0013              0.4750              0.0000              0.0220             87.3758
              0.0013              0.4875              0.0000              0.0220             88.3923
              0.0013              0.5000              0.0000              0.0220             89.4609
              0.0013              0.5125              0.0000              0.0220             90.5241
              0.0013              0.5250              0.0000              0.0220             91.5464
              0.0013              0.5375              0.0000              0.0220             92.5144
              0.0013              0.5500              0.0000              0.0220             93.4371
              0.0013              0.5625              0.0000              0.0220             94.3456
              0.0013              0.5750              0.0000              0.0220             95.2925
              0.0013              0.5875              0.0000              0.0220             96.3510
              0.0013              0.6000              0.0000              0.0220             97.6130
              0.0013              0.6125              0.0000              0.0220             99.1882
              0.0013              0.6250              0.0000              0.0220            101.2018
              0.0013              0.6375              0.0000              0.0220            103.7921
              0.0013              0.6500              0.0000              0.0220            107.1084
              0.0013              0.6625              0.0000              0.0220            111.3093
              0.0013              0.6750              0.0000              0.0220            116.5591
              0.0013              0.6875              0.0000              0.0220            123.0262
              0.0013              0.7000              0.0000              0.0220            130.8803
              0.0013              0.7125              0.0000              0.0220            140.2904
              0.0013              0.7250              0.0000              0.0220            151.4228
              0.0014              0.3000              0.0000              0.0220            133.5758
              0.0014              0.3125              0.0000              0.0220            119.1158
              0.0014              0.3250              0.0000              0.0220            106.8298
              0.0014              0.3375              0.0000              0.0220             96.5529
              0.0014              0.3500              0.0000              0.0220             88.1156
              0.0014              0.3625              0.0000              0.0220             81.3437
              0.0014              0.3750              0.0000              0.0220             76.0602
              0.0014              0.3875              0.0000              0.0220             72.0881
              0.0014              0.4000              0.0000              0.0220             69.2513
              0.0014              0.4125              0.0000              0.0220             67.3793
              0.0014              0.4250              0.0000              0.0220             66.3079
              0.0014              0.4375              0.0000              0.0220             65.8821
              0.0014              0.4500              0.0000              0.0220             65.9586
              0.0014              0.4625              0.0000              0.0220             66.4082
              0.0014              0.4750              0.0000              0.0220             67.1175
              0.0014              0.4875              0.0000              0.0220             67.9910
              0.0014              0.5000              0.0000              0.0220             68.9524
              0.0014              0.5125              0.0000              0.0220             69.9464
              0.0014              0.5250              0.0000              0.0220             70.9389
              0.0014              0.5375              0.0000              0.0220             71.9178
              0.0014              0.5500              0.0000              0.0220             72.8935
              0.0014              0.5625              0.0000              0.0220             73.8978
              0.0014              0.5750              0.0000              0.0220             74.9841
              0.0014              0.5875              0.0000              0.0220             76.2257
              0.0014              0.6000              0.0000              0.0220             77.7150
              0.0014              0.6125              0.0000              0.0220             79.5614
              0.0014              0.6250              0.0000              0.0220             81.8896
              0.0014              0.6375              0.0000              0.0220             84.8373
              0.0014              0.6500              0.0000              0.0220             88.5531
              0.0014              0.6625              0.0000              0.0220             93.1944
              0.0014              0.6750              0.0000              0.0220             98.9243
              0.0014              0.6875              0.0000              0.0220            105.9099
              0.0014              0.7000              0.0000              0.0220            114.3194
              0.0014              0.7125              0.0000              0.0220            124.3202
              0.0014              0.7250              0.0000              0.0220            136.0766
              0.0015              0.3000              0.0000              0.0220            121.3810
              0.0015              0.3125              0.0000              0.0220            106.5956
              0.0015              0.3250              0.0000              0.0220             93.9921
              0.0015              0.3375              0.0000              0.0220             83.4058
              0.0015              0.3500              0.0000              0.0220             74.6679
              0.0015              0.3625              0.0000              0.0220             67.6050
              0.0015              0.3750              0.0000              0.0220             62.0408
              0.0015              0.3875              0.0000              0.0220             57.7992
              0.0015              0.4000              0.0000              0.0220             54.7054
              0.0015              0.4125              0.0000              0.0220             52.5901
              0.0015              0.4250              0.0000              0.0220             51.2902
              0.0015              0.4375              0.0000              0.0220             50.6525
              0.0015              0.4500              0.0000              0.0220             50.5351
              0.0015              0.4625              0.0000              0.0220             50.8103
              0.0015              0.4750              0.0000              0.0220             51.3664
              0.0015              0.4875              0.0000              0.0220             52.1096
              0.0015              0.5000              0.0000              0.0220             52.9652
              0.0015              0.5125              0.0000              0.0220             53.8793
              0.0015              0.5250              0.0000              0.0220             54.8194
              0.0015              0.5375              0.0000              0.0220             55.7749
              0.0015              0.5500              0.0000              0.0220             56.7571
              0.0015              0.5625              0.0000              0.0220             57.7993
              0.0015              0.5750              0.0000              0.0220             58.9555
              0.0015              0.5875              0.0000              0.0220             60.2999
              0.0015              0.6000              0.0000              0.0220             61.9254
              0.0015              0.6125              0.0000              0.0220             63.9419
              0.0015              0.6250              0.0000              0.0220             66.4741
              0.0015              0.6375              0.0000              0.0220             69.6599
              0.0015              0.6500              0.0000              0.0220             73.6477
              0.0015              0.6625              0.0000              0.0220             78.5945
              0.0015              0.6750              0.0000              0.0220             84.6630
              0.0015              0.6875              0.0000              0.0220             92.0194
              0.0015              0.7000              0.0000              0.0220            100.8312
              0.0015              0.7125              0.0000              0.0220            111.2649
              0.0015              0.7250              0.0000              0.0220            123.4835
              0.0016              0.3000              0.0000              0.0220            111.9660
              0.0016              0.3125              0.0000              0.0220             96.9341
              0.0016              0.3250              0.0000              0.0220             84.0879
              0.0016              0.3375              0.0000              0.0220             73.2634
              0.0016              0.3500              0.0000              0.0220             64.2921
              0.0016              0.3625              0.0000              0.0220             57.0009
              0.0016              0.3750              0.0000              0.0220             51.2146
              0.0016              0.3875              0.0000              0.0220             46.7576
              0.0016              0.4000              0.0000              0.0220             43.4562
