#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.3000              0.0000              0.0000            118.6865
              0.0012              0.3250              0.0000              0.0000            100.1457
              0.0012              0.3500              0.0000              0.0000             88.3203
              0.0012              0.3750              0.0000              0.0000             81.7099
              0.0012              0.4000              0.0000              0.0000             78.8219
              0.0012              0.4250              0.0000              0.0000             78.2895
              0.0012              0.4500              0.0000              0.0000             78.9512
              0.0012              0.4750              0.0000              0.0000             79.9330
              0.0012              0.5000              0.0000              0.0000             80.7139
              0.0012              0.5250              0.0000              0.0000             81.1653
              0.0012              0.5500              0.0000              0.0000             81.5641
              0.0012              0.5750              0.0000              0.0000             82.5725
              0.0012              0.6000              0.0000              0.0000             85.1913
              0.0012              0.6250              0.0000              0.0000             90.6910
              0.0012              0.6500              0.0000              0.0000            100.5254
              0.0012              0.6750              0.0000              0.0000            116.2400
              0.0012              0.7000              0.0000              0.0000            139.3824
              0.0012              0.7250              0.0000              0.0000            171.4221
              0.0012              0.7500              0.0000              0.0000            213.6747
              0.0012              0.7750              0.0000              0.0000            267.2572
              0.0012              0.3000              0.0000              0.0050            122.6034
              0.0012              0.3250              0.0000              0.0050            103.7330
              0.0012              0.3500              0.0000              0.0050             91.7579
              0.0012              0.3750              0.0000              0.0050             85.1532
              0.0012              0.4000              0.0000              0.0050             82.4333
              0.0012              0.4250              0.0000              0.0050             82.2059
              0.0012              0.4500              0.0000              0.0050             83.2735
              0.0012              0.4750              0.0000              0.0050             84.7112
              0.0012              0.5000              0.0000              0.0050             85.9343
              0.0012              0.5250              0.0000              0.0050             86.7396
              0.0012              0.5500              0.0000              0.0050             87.3213
              0.0012              0.5750              0.0000              0.0050             88.2562
              0.0012              0.6000              0.0000              0.0050             90.4620
              0.0012              0.6250              0.0000              0.0050             95.1316
              0.0012              0.6500              0.0000              0.0050            103.6531
              0.0012              0.6750              0.0000              0.0050            117.5200
              0.0012              0.7000              0.0000              0.0050            138.2432
              0.0012              0.7250              0.0000              0.0050            167.2724
              0.0012              0.7500              0.0000              0.0050            205.9199
              0.0012              0.7750              0.0000              0.0050            255.3134
              0.0012              0.3000              0.0000              0.0100            126.1801
              0.0012              0.3250              0.0000              0.0100            106.9441
              0.0012              0.3500              0.0000              0.0100             94.7304
              0.0012              0.3750              0.0000              0.0100             88.0246
              0.0012              0.4000              0.0000              0.0100             85.3304
              0.0012              0.4250              0.0000              0.0100             85.2445
              0.0012              0.4500              0.0000              0.0100             86.5458
              0.0012              0.4750              0.0000              0.0100             88.2760
              0.0012              0.5000              0.0000              0.0100             89.8064
              0.0012              0.5250              0.0000              0.0100             90.8821
