#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.3000              0.0000              0.0000                 inf
              0.0012              0.3250              0.0000              0.0000                 inf
              0.0012              0.3500              0.0000              0.0000                 inf
              0.0012              0.3750              0.0000              0.0000                 inf
              0.0012              0.4000              0.0000              0.0000                 inf
              0.0012              0.4250              0.0000              0.0000                 inf
              0.0012              0.4500              0.0000              0.0000                 inf
              0.0012              0.4750              0.0000              0.0000                 inf
              0.0012              0.5000              0.0000              0.0000                 inf
              0.0012              0.5250              0.0000              0.0000                 inf
              0.0012              0.5500              0.0000              0.0000                 inf
              0.0012              0.5750              0.0000              0.0000                 inf
              0.0012              0.6000              0.0000              0.0000                 inf
              0.0012              0.6250              0.0000              0.0000                 inf
              0.0012              0.6500              0.0000              0.0000                 inf
              0.0012              0.6750              0.0000              0.0000                 inf
              0.0012              0.7000              0.0000              0.0000                 inf
              0.0012              0.7250              0.0000              0.0000                 inf
              0.0012              0.7500              0.0000              0.0000                 inf
              0.0012              0.7750              0.0000              0.0000                 inf
              0.0012              0.3000              0.0000              0.0050            140.7276
              0.0012              0.3250              0.0000              0.0050            120.2632
              0.0012              0.3500              0.0000              0.0050            106.9343
              0.0012              0.3750              0.0000              0.0050             99.2636
              0.0012              0.4000              0.0000              0.0050             95.7770
              0.0012              0.4250              0.0000              0.0050             95.0769
              0.0012              0.4500              0.0000              0.0050             95.9313
              0.0012              0.4750              0.0000              0.0050             97.3548
              0.0012              0.5000              0.0000              0.0050             98.6782
              0.0012              0.5250              0.0000              0.0050             99.5967
              0.0012              0.5500              0.0000              0.0050            100.1924
              0.0012              0.5750              0.0000              0.0050            100.9284
              0.0012              0.6000              0.0000              0.0050            102.6146
              0.0012              0.6250              0.0000              0.0050            106.3509
              0.0012              0.6500              0.0000              0.0050            113.4509
              0.0012              0.6750              0.0000              0.0050            125.3586
              0.0012              0.7000              0.0000              0.0050            143.5606
              0.0012              0.7250              0.0000              0.0050            169.5058
              0.0012              0.7500              0.0000              0.0050            204.5371
              0.0012              0.7750              0.0000              0.0050            249.8225
              0.0012              0.3000              0.0000              0.0100            149.3793
              0.0012              0.3250              0.0000              0.0100            127.3476
              0.0012              0.3500              0.0000              0.0100            112.7612
              0.0012              0.3750              0.0000              0.0100            104.1856
              0.0012              0.4000              0.0000              0.0100            100.1520
              0.0012              0.4250              0.0000              0.0100             99.2498
              0.0012              0.4500              0.0000              0.0100            100.2087
              0.0012              0.4750              0.0000              0.0100            101.9810
              0.0012              0.5000              0.0000              0.0100            103.8104
              0.0012              0.5250              0.0000              0.0100            105.2852
              0.0012              0.5500              0.0000              0.0100            106.3665
              0.0012              0.5750              0.0000              0.0100            107.3896
              0.0012              0.6000              0.0000              0.0100            109.0388
